epoch,train_loss,val_loss,train_ppl,val_ppl,learning_rate,bleu_score
1,12.738338,5.640555,340557.147817,281.618839,0.00010000,0.000000
2,5.289050,5.067558,198.155082,158.786038,0.00009780,0.000000
3,4.887785,4.814458,132.659466,123.279937,0.00009141,0.000000
4,4.646770,4.654189,104.247731,105.024004,0.00008145,0.000000
5,4.470712,4.534511,87.418900,93.177895,0.00006891,0.000000
6,4.337705,4.448637,76.531712,85.510290,0.00005500,0.000000
7,4.234036,4.377630,68.995140,79.649028,0.00004109,0.000000
8,4.153131,4.338714,63.632941,76.608940,0.00002855,0.000000
9,4.093087,4.298075,59.924621,73.558027,0.00001859,0.000000
10,4.052157,4.284874,57.521415,72.593419,0.00001220,0.023622
